LBM,Muscle_Strength
28.0,83.8
29.7,109.6
30.7,87.2
31.8,70.5
33.4,88.6
33.0,110.3
33.6,101.2
34.2,94.2
34.8,90.0
35.3,83.8
35.5,72.6
36.7,71.2
37.5,74.7
39.0,71.2
37.5,85.2
36.9,83.1
36.9,91.4
36.9,99.1
35.5,99.1
36.9,105.4
35.9,113.8
36.1,127.8
39.4,124.3
40.0,136.9
38.8,94.2
40.0,94.9
39.8,98.4
39.8,97.0
40.4,106.1
40.2,113.1
42.7,113.8
45.4,124.3
45.2,132.0
46.8,127.8
45.4,92.1
45.4,99.8
54.2,101.2
51.1,129.2
53.2,129.9
52.4,145.9
53.6,150.1
53.8,148.7
49.5,155.7
53.2,163.4
52.8,176.7
54.4,164.8
55.3,157.1
58.4,136.2
59.6,136.9
59.6,145.2
60.0,161.3
61.0,162.7
58.8,166.2
56.1,178.8
56.7,188.6
60.8,178.8
70.1,174.6
61.9,197.6
64.7,197.6
63.5,211.6
70.5,203.9
